node_id_a	node_id_b
10359.UL144_HCMVM	9606.ENSP00000231524
9606.ENSP00000157812	10359.UL27_HCMVM
10359.UL144_HCMVM	9606.ENSP00000337853
9606.ENSP00000293362	10359.UL27_HCMVM
9606.ENSP00000276297	10359.VIE2_HCMVM
10359.VIE1_HCMVM	9606.ENSP00000268058
10359.VICA_HCMVM	9606.ENSP00000331019
9606.ENSP00000397552	10359.UL27_HCMVM
9606.ENSP00000305480	10359.ICP27_HCMVM
10359.VIE1_HCMVM	9606.ENSP00000343023
10359.VIE1_HCMVM	9606.ENSP00000266000
10359.VICA_HCMVM	9606.ENSP00000301071
10359.VICA_HCMVM	9606.ENSP00000311997
10359.VICA_HCMVM	9606.ENSP00000345216
10359.VICA_HCMVM	9606.ENSP00000301072
10359.VICA_HCMVM	9606.ENSP00000368030
10359.VICA_HCMVM	9606.ENSP00000339001
10359.VICA_HCMVM	9606.ENSP00000369538
10359.VICA_HCMVM	9606.ENSP00000332340
10359.VICA_HCMVM	9606.ENSP00000361927
10359.VICA_HCMVM	9606.ENSP00000429084
10359.VICA_HCMVM	9606.ENSP00000224784
10359.VICA_HCMVM	9606.ENSP00000351273
10359.VICA_HCMVM	9606.ENSP00000361202
10359.VICA_HCMVM	9606.ENSP00000295137
10359.VICA_HCMVM	9606.ENSP00000348349
10359.VICA_HCMVM	9606.ENSP00000264710
10359.VICA_HCMVM	9606.ENSP00000324173
10359.VICA_HCMVM	9606.ENSP00000357555
9606.ENSP00000290349	10359.UL27_HCMVM
10359.PP71_HCMVM	9606.ENSP00000372023
9606.ENSP00000261667	10359.VIE2_HCMVM
9606.ENSP00000270586	10359.UL27_HCMVM
10359.US03_HCMVM	9606.ENSP00000404833
10359.US03_HCMVM	9606.ENSP00000219406
9606.ENSP00000262213	10359.US02_HCMVM
9606.ENSP00000242577	10359.VIE2_HCMVM
10359.UL97_HCMVM	9606.ENSP00000261769
9606.ENSP00000262213	10359.US11_HCMVM
9606.ENSP00000264710	10359.VICA_HCMVM
10359.PP65_HCMVM	9606.ENSP00000357113
9606.ENSP00000429084	10359.UL27_HCMVM
9606.ENSP00000429084	10359.VICA_HCMVM
10359.UL21A_HCMVM	9606.ENSP00000394394
10359.UL21A_HCMVM	9606.ENSP00000434614
10359.UL21A_HCMVM	9606.ENSP00000378350
