qseqid	sseqid	pident
194440.ENV_HTL1C	9606.ENSP00000250113	65.0
194440.ENV_HTL1C	9606.ENSP00000273853	37.037
194440.ENV_HTL1C	9606.ENSP00000316054	29.897
194440.ENV_HTL1C	9606.ENSP00000345731	30.769000000000002
194440.ENV_HTL1C	9606.ENSP00000348984	29.851
194440.ENV_HTL1C	9606.ENSP00000362994	31.915
194440.ENV_HTL1C	9606.ENSP00000372322	26.881999999999998
194440.ENV_HTL1C	9606.ENSP00000416706	28.205
194440.HBZ_HTL1C	9606.ENSP00000220429	26.087
194440.HBZ_HTL1C	9606.ENSP00000222399	27.885
194440.HBZ_HTL1C	9606.ENSP00000257622	25.316
194440.HBZ_HTL1C	9606.ENSP00000262269	30.769000000000002
194440.HBZ_HTL1C	9606.ENSP00000348984	41.026
194440.HBZ_HTL1C	9606.ENSP00000353538	30.357
194440.HBZ_HTL1C	9606.ENSP00000356436	66.667
194440.HBZ_HTL1C	9606.ENSP00000356814	36.17
194440.HBZ_HTL1C	9606.ENSP00000365198	32.258
194440.HBZ_HTL1C	9606.ENSP00000366404	25.275
194440.HBZ_HTL1C	9606.ENSP00000370883	27.451
194440.HBZ_HTL1C	9606.ENSP00000372322	23.076999999999998
194440.HBZ_HTL1C	9606.ENSP00000378917	66.667
194440.HBZ_HTL1C	9606.ENSP00000382271	44.0
194440.REX_HTL1C	9606.ENSP00000299821	36.842
194440.REX_HTL1C	9606.ENSP00000339001	26.666999999999998
194440.REX_HTL1C	9606.ENSP00000341289	26.666999999999998
194440.REX_HTL1C	9606.ENSP00000354360	40.0
194440.REX_HTL1C	9606.ENSP00000354791	21.053
194440.TAX_HTL1C	9606.ENSP00000222399	28.947
194440.TAX_HTL1C	9606.ENSP00000326031	44.443999999999996
194440.TAX_HTL1C	9606.ENSP00000335084	44.443999999999996
194440.TAX_HTL1C	9606.ENSP00000408464	27.928
9606.ENSP00000005340	9606.ENSP00000005340	100.0
9606.ENSP00000005340	9606.ENSP00000225525	30.769000000000002
9606.ENSP00000005340	9606.ENSP00000248901	37.143
9606.ENSP00000005340	9606.ENSP00000271657	42.308
9606.ENSP00000005340	9606.ENSP00000282030	32.353
9606.ENSP00000005340	9606.ENSP00000293813	39.241
9606.ENSP00000005340	9606.ENSP00000313829	28.889
9606.ENSP00000005340	9606.ENSP00000316054	65.949
