qseqid	sseqid	ppos
186538.VP24_EBOZM	9606.ENSP00000364805	51.61
186538.VP35_EBOZM	9606.ENSP00000262306	87.5
9606.ENSP00000217182	9606.ENSP00000247207	73.33
9606.ENSP00000217182	9606.ENSP00000265094	47.62
9606.ENSP00000217182	9606.ENSP00000364805	48.39
9606.ENSP00000228318	9606.ENSP00000262306	88.89
9606.ENSP00000240327	36427.NSP1_ROTHC	41.38
9606.ENSP00000240327	9606.ENSP00000247207	71.43
9606.ENSP00000240327	9606.ENSP00000264414	41.78
9606.ENSP00000240327	9606.ENSP00000310219	56.0
9606.ENSP00000240327	9606.ENSP00000364802	71.43
9606.ENSP00000240327	9606.ENSP00000364805	66.67
9606.ENSP00000240343	36427.NSP1_ROTHC	43.33
9606.ENSP00000240343	9606.ENSP00000247207	61.11
9606.ENSP00000240343	9606.ENSP00000310219	60.0
9606.ENSP00000240343	9606.ENSP00000364802	61.11
9606.ENSP00000240343	9606.ENSP00000364805	61.11
9606.ENSP00000242577	9606.ENSP00000247207	66.67
9606.ENSP00000242577	9606.ENSP00000310219	60.0
9606.ENSP00000242577	9606.ENSP00000364802	61.11
9606.ENSP00000242577	9606.ENSP00000364805	61.11
9606.ENSP00000254108	9606.ENSP00000247207	54.55
9606.ENSP00000254108	9606.ENSP00000310219	54.55
9606.ENSP00000254108	9606.ENSP00000364802	38.3
9606.ENSP00000254108	9606.ENSP00000364805	38.3
9606.ENSP00000254810	9606.ENSP00000247207	75.0
9606.ENSP00000254810	9606.ENSP00000303373	73.33
9606.ENSP00000254810	9606.ENSP00000321389	73.33
9606.ENSP00000254810	9606.ENSP00000328484	73.33
9606.ENSP00000254810	9606.ENSP00000332194	51.85
9606.ENSP00000254810	9606.ENSP00000341094	73.33
9606.ENSP00000254810	9606.ENSP00000352119	73.33
9606.ENSP00000254810	9606.ENSP00000355656	73.33
9606.ENSP00000254810	9606.ENSP00000358158	73.33
9606.ENSP00000254810	9606.ENSP00000364802	58.33
9606.ENSP00000254810	9606.ENSP00000366679	73.33
9606.ENSP00000254810	9606.ENSP00000373730	51.85
9606.ENSP00000257622	9606.ENSP00000247207	35.71
9606.ENSP00000261839	9606.ENSP00000247207	49.48
9606.ENSP00000261839	9606.ENSP00000364802	64.71
9606.ENSP00000261839	9606.ENSP00000364805	61.76
9606.ENSP00000261839	9606.ENSP00000431822	75.0
9606.ENSP00000262077	9606.ENSP00000310219	64.71
9606.ENSP00000262077	9606.ENSP00000328484	45.45
9606.ENSP00000262077	9606.ENSP00000352119	45.45
9606.ENSP00000262077	9606.ENSP00000366679	45.45
9606.ENSP00000265866	9606.ENSP00000264414	57.14
9606.ENSP00000267064	9606.ENSP00000247207	68.0
9606.ENSP00000267064	9606.ENSP00000303373	64.71
9606.ENSP00000267064	9606.ENSP00000310219	68.0
9606.ENSP00000267064	9606.ENSP00000328484	57.14
9606.ENSP00000267064	9606.ENSP00000332194	52.94
9606.ENSP00000267064	9606.ENSP00000341094	57.14
9606.ENSP00000267064	9606.ENSP00000352119	57.14
9606.ENSP00000267064	9606.ENSP00000355656	64.71
9606.ENSP00000267064	9606.ENSP00000358158	57.14
9606.ENSP00000267064	9606.ENSP00000364802	68.0
9606.ENSP00000267064	9606.ENSP00000364805	68.0
9606.ENSP00000267064	9606.ENSP00000366679	57.14
9606.ENSP00000267064	9606.ENSP00000373730	55.88
9606.ENSP00000274764	9606.ENSP00000265094	52.94
9606.ENSP00000274764	9606.ENSP00000364802	55.26
