qseqid	sseqid	bitscore
63330.C_HENDH	9606.ENSP00000295688	23.9
63330.C_HENDH	9606.ENSP00000298139	24.6
63330.C_HENDH	9606.ENSP00000356224	23.1
63330.C_HENDH	9606.ENSP00000377640	21.2
63330.V_HENDH	10298.ICP4_HHV11	28.1
63330.V_HENDH	10298.US03_HHV11	26.6
63330.V_HENDH	10298.VP22_HHV11	25.4
63330.V_HENDH	9606.ENSP00000217182	24.3
63330.V_HENDH	9606.ENSP00000265081	23.5
63330.V_HENDH	9606.ENSP00000309555	23.1
63330.V_HENDH	9606.ENSP00000378414	25.4
63330.W_HENDH	10298.ICP4_HHV11	27.7
63330.W_HENDH	10298.US03_HHV11	26.6
63330.W_HENDH	10298.VP22_HHV11	25.8
63330.W_HENDH	9606.ENSP00000217182	24.3
63330.W_HENDH	9606.ENSP00000265081	23.5
63330.W_HENDH	9606.ENSP00000378414	25.0
9606.ENSP00000216336	9606.ENSP00000225983	22.7
9606.ENSP00000216336	9606.ENSP00000272065	25.0
9606.ENSP00000216336	9606.ENSP00000313420	22.3
9606.ENSP00000216336	9606.ENSP00000362063	23.5
9606.ENSP00000225275	9606.ENSP00000217182	25.0
9606.ENSP00000225275	9606.ENSP00000238081	26.6
9606.ENSP00000225275	9606.ENSP00000283131	25.0
9606.ENSP00000225275	9606.ENSP00000313420	24.6
9606.ENSP00000225275	9606.ENSP00000323967	24.6
9606.ENSP00000225275	9606.ENSP00000330054	24.6
9606.ENSP00000225275	9606.ENSP00000350052	24.6
9606.ENSP00000225275	9606.ENSP00000381167	27.3
9606.ENSP00000225275	9606.ENSP00000420213	24.3
9606.ENSP00000225655	9606.ENSP00000301071	23.9
9606.ENSP00000225655	9606.ENSP00000301072	21.6
9606.ENSP00000225655	9606.ENSP00000325875	21.2
9606.ENSP00000225655	9606.ENSP00000335153	21.6
9606.ENSP00000225655	9606.ENSP00000356224	23.9
9606.ENSP00000225655	9606.ENSP00000418960	23.1
9606.ENSP00000225655	9606.ENSP00000420213	24.6
